,Energy,dEnergy,Data,dData,EXFOR_Entry,Year,Author,Dataset_Number,MT,dData_assumed,endf7-1,endf7-1_chi_squared,endf7-1_relative_error,endf8,endf8_chi_squared,endf8_relative_error
1509208,865087.0,nan,1.33353,0.0262509,12876002,1978,J.A.Harvey,12876002,1,0.0262509,1.3081639974886001,0.024510934231144452,1.939053708869635,1.3081640780248045,0.024510778588608822,1.9390474330632579
1510856,865800.0,6e-11,1.248,0.030924,10251002,1971,C.A.Goulding,10251002,1,0.030924,1.30939437724,0.12188816313178888,-4.688761331739479,1.3093944615822835,0.12188849802672615,-4.68876747104107
1512813,866000.0,nan,1.4,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3097395048,0.40734784968746024,6.891484518044133,1.3097395902099072,0.40734707877377363,6.891477547504467
1509209,866227.0,nan,1.31496,0.0261521,12876002,1978,J.A.Harvey,12876002,1,0.0261521,1.3101312245806,0.0008915946348859269,0.3685718902658507,1.3101313112022603,0.0008915626471838046,0.36856525421932346
1512020,866764.0,1235.0,1.27524,0.037913,10050003,1970,J.W.Meadows,10050003,1,0.037913,1.3110578920792,0.03383856178612143,-2.7319840180662536,1.3110579815674304,0.03383873087238642,-2.7319906572406802
1509210,867370.0,nan,1.32847,0.026261,12876002,1978,J.A.Harvey,12876002,1,0.026261,1.312103628586,0.010199844379916976,1.2473383243088405,1.3121037213091304,0.010199728806489174,1.2473311694094125
1512814,868000.0,nan,1.35,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3131907804,0.0677459323780514,2.803036706424934,1.3131908764861457,0.06774557869290924,2.803029184329144
1510857,868330.0,6e-11,1.329,0.030210000000000004,10251002,1971,C.A.Goulding,10251002,1,0.030210000000000004,1.3137602408740001,0.007687860252184556,1.1600106816949602,1.313760338721725,0.0076877615318290396,1.1600031473855468
1509211,868515.0,nan,1.30556,0.0259531,12876002,1978,J.A.Harvey,12876002,1,0.0259531,1.314079483867,0.002796644923345292,-0.6483233298741795,1.314079582702277,0.0027967098119661294,-0.6483308023671858
1512021,868765.0,1234.0,1.36079,0.03780700000000001,10050003,1970,J.W.Meadows,10050003,1,0.03780700000000001,1.314510893317,0.056649713422818264,3.520633181382053,1.314510993486807,0.05664946818970468,3.5206252927893478
1509212,869662.0,nan,1.31648,0.0260789,12876002,1978,J.A.Harvey,12876002,1,0.0260789,1.3160587904236,6.803105470364225e-06,0.032005376922746895,1.3160588953816998,6.799715461687383e-06,0.03199739918767965
